,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
2887,2887,0.0,0.20640000700950623,"year, old, first, job, really, later, never, boss, walk, time","['get', 'catch', 'hurry', 'check', 'week', 'much', 'morepic']"
2888,2888,15.0,0.1981000006198883,"world, go, truth, wait, allow, courage, date, finally, rape, viral","['hate', 'bing', 'much', 'seriously', 'find', 'tammy']"
2889,2889,22.0,0.30889999866485596,"fight, thread, important, predator, change, real, society, lady, continue, moment","['solid', 'logic']"
2890,2890,3.0,0.24869999289512634,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['thank', 'bravery', 'thank', 'give', 'power', 'heal', 'speak', 'pain']"
2891,2891,33.0,0.3546999990940094,"campaign, many, time, week, come_forward, alyssa_milano, teach, black_woman, woman, white","['go', 'provide', 'opportunity', 'much', 'healing', 'help', 'other', 'brava', 'childhood', 'hero']"
2892,2892,7.0,0.24490000307559967,"thank, man, respond, side, trauma, brave, realize, wake, easy, hit","['sad', 'hurt', 'part', 'patriarchy', 'entitlement', 'man', 'hurt', 'much', 'never', 'outlet', 'feel', 'change']"
2893,2893,3.0,0.17949999868869781,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['love', 'unifying', 'emoji', 'message']"
2894,2894,3.0,0.2574999928474426,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['talk', 'abuse', 'child', 'sum', 'friend', 'know', 'even', 'attempt', 'assault', 'teen', 'much', 'shame']"
2895,2895,3.0,0.3068999946117401,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['matter', 'say', 'tell', 'many', 'fucking', 'time', 'tell', 'itnobody', 'listen', 'nobody', 'care', 'nobody', 'helpsu', 'get', 'tired', 'askingthen', 'wonder', 'people', 'wonder', 'anyone', 'say']"
2896,2896,8.0,0.24300000071525574,"pic, far, end, could, step, find, yet, good, like, accuse","['set', 'participation', 'something', 'sign', 'ask', 'woman', 'man']"
2897,2897,3.0,0.5368000268936157,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['many', 'time', 'count']"
2898,2898,6.0,0.46560001373291016,"trend, action, violence, sexual, proud, survivor, male, accuser, liar, question","['question', 'post']"
2899,2899,15.0,0.24150000512599945,"world, go, truth, wait, allow, courage, date, finally, rape, viral","['share', 'story', 'be', 'go', 'say', 'send', 'hope', 'love', 'joy', 'acceptance', 'matter']"
2900,2900,3.0,0.4999000132083893,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['happen', 'man', 'find', 'courage', 'read', 'story', 'take', 'stand', 'rape', 'sexual', 'abuse', 'predator', 'count', 'silence', 'power', 'shame', 'fear', 'victim', 'feel']"
2901,2901,7.0,0.3910999894142151,"thank, man, respond, side, trauma, brave, realize, wake, easy, hit",['man']
2902,2902,7.0,0.4569999873638153,"thank, man, respond, side, trauma, brave, realize, wake, easy, hit","['man', 'respond']"
2903,2903,26.0,0.6186000108718872,"read, wonder, tweet, must, child, follow, ignore, grateful, protect, stop","['victim', 'rape', 'abuse', 'sexual', 'harassment', 'tweet', 'alone']"
2904,2904,3.0,0.4731999933719635,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['thank', 'victim', 'blame', 'perpetrator', 'excuse', 'what', 's', 'happen', 'year']"
2905,2905,22.0,0.3544999957084656,"fight, thread, important, predator, change, real, society, lady, continue, moment","['know', 'lot', 'man', 'spend', 'lot', 'time', 'locker', 'room', 'real', 'man', 'glorify', 'sexual', 'assault']"
2906,2906,17.0,0.26649999618530273,"harass, say, sexually, almost, seem, ask, guy, woman, place, think","['dirty', 'bastard', 'defend', 'mark', 'halperin', 'shd', 'warn', 'man', 'woman', 'stop', 'time', 'soon', 'way', 'overdue']"
2907,2907,29.0,0.20669999718666077,"boy, young, sad, happen, age, abuser, learn, anything, man, grope","['weinstein', 'horrible', 'also', 'let', 'forget', 'run', 'country', 'enable', 'rape', 'culture', 'law']"
2908,2908,3.0,0.43700000643730164,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['share', 'tell', 'man', 'need', 'rape', 'get', 'lay', 'anytime', 'want']"
2909,2909,1.0,0.20730000734329224,"well, day, ago, lose, pain, who, idea, say, suppose, have","['omg', 'sorry', 'pain']"
2910,2910,11.0,0.6567000150680542,"sexually_harass, write, hollywood, true, problem, magnitude, march, woman, assault, status","['woman', 'sexually_harass', 'assault', 'write', 'status', 'might_give', 'people', 'sense', 'magnitude', 'problem']"
2911,2911,24.0,0.39079999923706055,"mean, hear, everywhere, son, trigger, understand, grab, spread, sexual, dear",['mean']
2912,2912,18.0,0.3935999870300293,"share, story, also, harassment, sex, s, want, sadly, attention, senator","['sobering', 'make', 'realize', 'there', 's', 'probably', 'get', 'away']"
2913,2913,30.0,0.3402999937534332,"strong, today, send, instead, personal, flood, lead, sometimes, story, affect","['thing', 'personal', 'status']"
2914,2914,7.0,0.1581999957561493,"thank, man, respond, side, trauma, brave, realize, wake, easy, hit","['response', 'aged', 'man', 'fb', 'judge', 'explain', 'facet', 'disconnect', 'violence', 'woman', 'pic']"
2915,2915,10.0,0.44940000772476196,"something, word, hurt, issue, teacher, common, do, drunk, close, nice","['wish', 'man', 'do', 'would', 'tweet']"
2916,2916,17.0,0.22460000216960907,"harass, say, sexually, almost, seem, ask, guy, woman, place, think","['think', 'would', 'hard', 'press', 'find', 'female', 'say', 'would', 'meet', 'man', 'coul', 'say']"
2917,2917,33.0,0.2971000075340271,"campaign, many, time, week, come_forward, alyssa_milano, teach, black_woman, woman, white","['first', 'time', 'remember', 'dad', 'die', 'seem', 'girl', 'extra', 'target', 'back']"
2918,2918,0.0,0.31029999256134033,"year, old, first, job, really, later, never, boss, walk, time","['poor', 'year', 'old', 'white', 'pedophile', 'prison', 'must', 'really', 'hard', 'time', 'man', 'right', 'infinite', 'eye', 'roll', 'dry', 'heaving']"
2919,2919,17.0,0.5541999936103821,"harass, say, sexually, almost, seem, ask, guy, woman, place, think","['know', 'people', 'say', 'ask']"
2920,2920,3.0,0.29100000858306885,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['happen', 'anyone', 'thank', 'courage', 'hope', 'there', 's', 'solace', 'know', 'awareness', 'lead', 'change']"
2921,2921,3.0,0.3091000020503998,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['personally', 'attest']"
2922,2922,29.0,0.4526999890804291,"boy, young, sad, happen, age, abuser, learn, anything, man, grope","['sad', 'many', 'woman', 'world', 'happen', 'hashtagg', 'also', 'mom']"
2923,2923,6.0,0.3765999972820282,"trend, action, violence, sexual, proud, survivor, male, accuser, liar, question","['male', 'survivor', 'abuse', 'child']"
2924,2924,22.0,0.26930001378059387,"fight, thread, important, predator, change, real, society, lady, continue, moment","['thread', 'day']"
2925,2925,3.0,0.24819999933242798,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['want', 'rehash', 'every_single', 'time', 'know', 'be', 'alone']"
2926,2926,31.0,0.4632999897003174,"stand, enough, power, anyone, industry, home, whole, back, heal, lucky","['united', 'stand']"
2927,2927,3.0,0.4602000117301941,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['woman', 'post', 'story', 'name', 'still', 'stori', 'courage', 'public', 'disclosure', 'personal', 'reveal', 'first']"
